ID,street,city,zip,beds,baths,sqft,type,price
0,3526 HIGH ST,SACRAMENTO,95838,2,1,836,Residential,59222
1,51 OMAHA CT,SACRAMENTO,95823,3,1,1167,Residential,68212
2,2796 BRANCH ST,SACRAMENTO,95815,2,1,796,Residential,68880
3,2805 JANETTE WAY,SACRAMENTO,95815,2,1,852,Residential,69307
4,6001 MCMAHON DR,SACRAMENTO,95824,2,1,797,Residential,81900
5,5828 PEPPERMILL CT,SACRAMENTO,95841,3,1,1122,Condo,89921
6,6048 OGDEN NASH WAY,SACRAMENTO,95842,3,2,1104,Residential,90895
7,2561 19TH AVE,SACRAMENTO,95820,3,1,1177,Residential,91002
8,11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,95670,2,2,941,Condo,94905
9,7325 10TH ST,RIO LINDA,95673,3,2,1146,Residential,98937
10,645 MORRISON AVE,SACRAMENTO,95838,3,2,909,Residential,100309
11,4085 FAWN CIR,SACRAMENTO,95823,3,2,1289,Residential,106250
12,2930 LA ROSA RD,SACRAMENTO,95815,1,1,871,Residential,106852
13,2113 KIRK WAY,SACRAMENTO,95822,3,1,1020,Residential,107502
14,4533 LOCH HAVEN WAY,SACRAMENTO,95842,2,2,1022,Residential,108750
15,7340 HAMDEN PL,SACRAMENTO,95842,2,2,1134,Condo,110700
16,6715 6TH ST,RIO LINDA,95673,2,1,844,Residential,113263
17,6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,2,1,795,Condo,116250
18,250 PERALTA AVE,SACRAMENTO,95833,2,1,588,Residential,120000
19,113 LEEWILL AVE,RIO LINDA,95673,3,2,1356,Residential,121630
